"EcoSite","Plot","WaterYear","p_monsoon_D","p_winter_D","p_spring_D","p_annual_D","winter_D","spring_D"
"GLCA_B","B01",2008,431.5000115,NA,194.3000012,NA,35.499999,98.2999992
"GLCA_B","B01",2009,455.7999992,35.499999,188.9999961,810.8999991,41.1999993,114
"GLCA_B","B01",2010,468.2000085,41.1999993,224.4000015,858.0000091,32.5999996,64.7000003
"GLCA_B","B01",2011,388.2999935,32.5999996,153.5000034,737.0999992,30.2999997,99.9999981
"GLCA_B","B01",2012,421.9000092,30.2999997,192.699995,756.6000085,36.2999997,142.300005
"GLCA_B","B01",2013,446.7000008,36.2999997,264.0000019,895.4000016,48.2999992,113.8000011
"GLCA_B","B01",2014,396.6999932,48.2999992,217.3000011,824.3999919,26.8,88.5999975
"GLCA_B","B01",2015,426.0999985,26.8,179.199996,754.9999953,41.4000006,94.4999981
"GLCA_B","B01",2016,392.5000076,41.4000006,179.8000012,741.6000081,19.5999997,87.7000017
"GLCA_B","B01",2017,422.3000031,19.5999997,174.1000032,748.9000137,37.5999999,98.1000004
"GLCA_B","B01",2018,431.10001,37.5999999,206.1000004,830.0000062,62.2000008,132.3000031
"GLCA_B","B01",2019,495.8999977,62.2000008,258,967.7999974,41.7999992,82.0999994
"GLCA_B","B01",2020,478.6000062,41.7999992,141.6999979,781.3999996,38.4000006,102.1000004
"GLCA_B","B01",2021,480.8999977,38.4000006,230.0000019,883.8000041,37.7999997,134.8000031
"GLCA_B","B01",2022,423.4000016,37.7999997,258.8000031,906.1999989,53.3000002,137.6000003
"GLCA_B","B01",2023,472.5000038,53.3000002,261.9000034,916.8000049,29.5999994,54.5000005
"GLCA_B","B01",2024,452.7999877,29.5999994,155.3000036,757.8999915,NA,NA
"GLCA_B","B02",2008,434.2000009,NA,201.6000032,NA,35.3000002,94.1999998
"GLCA_B","B02",2009,459.3999977,35.3000002,189.5000029,818.8000084,38.6999993,114.6999979
"GLCA_B","B02",2010,470.0000077,38.6999993,226.8999948,864.1000042,31.6000002,59.6999983
"GLCA_B","B02",2011,397.1000099,31.6000002,154.5000014,752.5000156,31.3999996,106.7999982
"GLCA_B","B02",2012,417.8999977,31.3999996,204.1999997,769.4999913,35.1000004,142.7999973
"GLCA_B","B02",2013,443.7999915,35.1000004,266.9999942,895.6999843,47.8000002,112.1000004
"GLCA_B","B02",2014,392.6000022,47.8000002,218.1999989,823.5000048,23.8999996,91.8000012
"GLCA_B","B02",2015,425.1000101,23.8999996,187.7000027,770.4000177,41.0999994,88
"GLCA_B","B02",2016,396.8999938,41.0999994,176.1999969,743.5999898,17.4999996,85.1000004
"GLCA_B","B02",2017,429.7999992,17.4999996,180.0000019,763.9999968,36.3999991,98.1999979
"GLCA_B","B02",2018,434.4000053,36.3999991,210.8999948,839.7000069,63.2000008,134.300003
"GLCA_B","B02",2019,494.8999901,63.2000008,263.4000091,974.9000015,41.6999988,76.6000009
"GLCA_B","B02",2020,478.8999939,41.6999988,137.1000009,778.799993,32.5999996,99.2999973
"GLCA_B","B02",2021,480.9999961,32.5999996,226.3999958,876.4999935,38.5,137.3000031
"GLCA_B","B02",2022,422.2999953,38.5,261.2000046,907.600005,53.6999988,137.0000019
"GLCA_B","B02",2023,469.6000024,53.6999988,262.5000019,912.7999992,28.4000001,50.1000013
"GLCA_B","B02",2024,455.5999946,28.4000001,154.4000044,762.0000067,NA,NA
"GLCA_B","B03",2008,434.2000009,NA,201.6000032,NA,35.3000002,94.1999998
"GLCA_B","B03",2009,459.3999977,35.3000002,189.5000029,818.8000084,38.6999993,114.6999979
"GLCA_B","B03",2010,470.0000077,38.6999993,226.8999948,864.1000042,31.6000002,59.6999983
"GLCA_B","B03",2011,397.1000099,31.6000002,154.5000014,752.5000156,31.3999996,106.7999982
"GLCA_B","B03",2012,417.8999977,31.3999996,204.1999997,769.4999913,35.1000004,142.7999973
"GLCA_B","B03",2013,443.7999915,35.1000004,266.9999942,895.6999843,47.8000002,112.1000004
"GLCA_B","B03",2014,392.6000022,47.8000002,218.1999989,823.5000048,23.8999996,91.8000012
"GLCA_B","B03",2015,425.1000101,23.8999996,187.7000027,770.4000177,41.0999994,88
"GLCA_B","B03",2016,396.8999938,41.0999994,176.1999969,743.5999898,17.4999996,85.1000004
"GLCA_B","B03",2017,429.7999992,17.4999996,180.0000019,763.9999968,36.3999991,98.1999979
"GLCA_B","B03",2018,434.4000053,36.3999991,210.8999948,839.7000069,63.2000008,134.300003
"GLCA_B","B03",2019,494.8999901,63.2000008,263.4000091,974.9000015,41.6999988,76.6000009
"GLCA_B","B03",2020,478.8999939,41.6999988,137.1000009,778.799993,32.5999996,99.2999973
"GLCA_B","B03",2021,480.9999961,32.5999996,226.3999958,876.4999935,38.5,137.3000031
"GLCA_B","B03",2022,422.2999953,38.5,261.2000046,907.600005,53.6999988,137.0000019
"GLCA_B","B03",2023,469.6000024,53.6999988,262.5000019,912.7999992,28.4000001,50.1000013
"GLCA_B","B03",2024,455.5999946,28.4000001,154.4000044,762.0000067,NA,NA
"GLCA_B","B04",2008,431.9000053,NA,196.3999997,NA,35.0999992,96.1000004
"GLCA_B","B04",2009,456.8999977,35.0999992,188.2999973,812.4000003,40.1000009,112.3000021
"GLCA_B","B04",2010,469.4999961,40.1000009,223.9000006,858.9999976,31.9999993,59.7999988
"GLCA_B","B04",2011,387.6000023,31.9999993,150.7999988,737.7000048,29.4000004,100.1000032
"GLCA_B","B04",2012,421.8000031,29.4000004,194.4000063,756.8000135,35,142.3000031
"GLCA_B","B04",2013,446.199997,35,265.8000031,896.5000077,47.8000002,112.0999975
"GLCA_B","B04",2014,395.1000023,47.8000002,217.199996,823.4999905,25.8000004,88.1999998
"GLCA_B","B04",2015,426.5999985,25.8000004,180.7999983,758.2999964,41.2000008,91.5
"GLCA_B","B04",2016,394.1000138,41.2000008,178.5999985,743.1000072,17.6999995,86.2999997
"GLCA_B","B04",2017,422.7000008,17.6999995,173.2000012,749.2999991,36.5,96.9999981
"GLCA_B","B04",2018,431.199997,36.5,206.699995,830.6999884,62.4000015,131.2999973
"GLCA_B","B04",2019,496.6999969,62.4000015,257.4999942,968.9999942,41.2999997,78.1000014
"GLCA_B","B04",2020,481.5000077,41.2999997,137.6999999,782.0000073,37.3999994,99.4000015
"GLCA_B","B04",2021,482,37.3999994,229.5999984,884.8999965,37.1999998,134.3999996
"GLCA_B","B04",2022,421.0999984,37.1999998,258.7000027,904.199995,53.0999994,138.5999965
"GLCA_B","B04",2023,472.2999954,53.0999994,263.499998,919.0999925,28.7000008,50.7000008
"GLCA_B","B04",2024,453.7999992,28.7000008,153.7000008,758.500003,NA,NA
"GLCA_B","B05",2008,407.8999977,NA,204.2000008,NA,29.3000007,80.6999992
"GLCA_B","B05",2009,433.8000069,29.3000007,174.7999977,765.0000023,29.4000008,100.3000011
"GLCA_B","B05",2010,449.8000069,29.4000008,196.3000011,794.7000057,27,66.9000002
"GLCA_B","B05",2011,380.3999976,27,169.4000002,745.9000039,28.4000004,102.7000022
"GLCA_B","B05",2012,394.5000077,28.4000004,190.0000053,725.7000146,26.5999996,129.3000012
"GLCA_B","B05",2013,412.199993,26.5999996,251.3999997,834.9999885,43.5,102.6999959
"GLCA_B","B05",2014,354.9000054,43.5,206.3999928,764.4999941,18.9999996,112.2999974
"GLCA_B","B05",2015,400,18.9999996,205.1000005,761.2000047,38.8999991,92.0000009
"GLCA_B","B05",2016,373.2000065,38.8999991,166.5999994,691.3000035,8.8999999,79.3999988
"GLCA_B","B05",2017,403.7000123,8.8999999,164.9999973,711.700013,28.6999996,97.400001
"GLCA_B","B05",2018,419.2000008,28.6999996,212.900001,815.4000037,61.5,130.9999962
"GLCA_B","B05",2019,410.1000013,61.5,258.9999962,930.2999926,15.2999996,61.0000014
"GLCA_B","B05",2020,467.9000016,15.2999996,118.2000022,682.9999971,26.0999992,81.4000006
"GLCA_B","B05",2021,461.0999984,26.0999992,212.0000067,832.1000028,34.4000001,110.1000023
"GLCA_B","B05",2022,392.2000123,34.4000001,227.0000038,829.8000145,51.1000004,125.4000035
"GLCA_B","B05",2023,417.3999977,51.1000004,246.2000066,834.4000006,22.1000006,39.6999985
"GLCA_B","B05",2024,437.7999953,22.1000006,145.8999954,724.499995,NA,NA
"GLCA_B","B06",2008,438.6000023,NA,204.1000033,NA,36.4000001,96.5000019
"GLCA_B","B06",2009,462.2000122,36.4000001,193.300005,826.4000164,40.5999999,117.3999997
"GLCA_B","B06",2010,473.0000037,40.5999999,231.8999997,876.3000054,32.9999995,65.4000011
"GLCA_B","B06",2011,405.6999969,32.9999995,160.3000026,763.9999937,33.9999995,111.6000004
"GLCA_B","B06",2012,427.5999984,33.9999995,210.1999989,790.3999972,36.6999998,144.300003
"GLCA_B","B06",2013,450.8000069,36.6999998,268.800003,906.6000041,49.0000005,117.1000003
"GLCA_B","B06",2014,397.9999923,49.0000005,224.7999972,838.1999935,26.6999992,95.3000002
"GLCA_B","B06",2015,433.8000068,26.6999992,192.8999987,786.3000116,43.1999998,94.5
"GLCA_B","B06",2016,404.2999953,43.1999998,183.4000015,761.2999924,19.7999997,90.7000018
"GLCA_B","B06",2017,435.199997,19.7999997,188.8999987,781.699997,38.7000008,101.5000019
"GLCA_B","B06",2018,444.600006,38.7000008,213.6000004,856.0000057,64.7000017,138.2000046
"GLCA_B","B06",2019,499.5999985,64.7000017,268.2000046,987.0000047,42.9000006,81.5000019
"GLCA_B","B06",2020,483.9999961,42.9000006,146.9000034,799.5999937,34.1000009,103.5000009
"GLCA_B","B06",2021,485.4999962,34.1000009,231.4000024,886.8999991,40.0000005,139.4000054
"GLCA_B","B06",2022,430.1000023,40.0000005,263.4000054,919.7000036,55.3999996,137.999998
"GLCA_B","B06",2023,472.0999985,55.3999996,264.1999949,919.4999894,30.4000006,54.4999981
"GLCA_B","B06",2024,459.6999931,30.4000006,158.4999981,771.7999926,NA,NA
"GLCA_B","B07",2008,431.4000016,NA,199.3000012,NA,34.7999994,94
"GLCA_B","B07",2009,457.0999985,34.7999994,187.3000031,812.1999962,38.6999998,111.2999993
"GLCA_B","B07",2010,469.5000115,38.6999998,223.6000024,857.8000147,31.3000006,56.1999985
"GLCA_B","B07",2011,385.3999977,31.3000006,149.1,736.7999954,27.9999995,99.8999996
"GLCA_B","B07",2012,421.2000046,27.9999995,195.3999996,755.6999955,34.3999991,143.1000004
"GLCA_B","B07",2013,445.3000107,34.3999991,267.2999973,898.0000161,47.3000002,111.1000004
"GLCA_B","B07",2014,393.1999931,47.3000002,217.2999973,821.6999854,23.6000008,87.8999977
"GLCA_B","B07",2015,426,23.6000008,182.0999946,759.2000008,40.8000012,89.3999977
"GLCA_B","B07",2016,393.8000031,40.8000012,178.0999946,744.0999985,16.9999997,84.8000007
"GLCA_B","B07",2017,422.2999954,16.9999997,172.9999976,748.6999988,35.5000005,95.4000006
"GLCA_B","B07",2018,430.5999945,35.5000005,207.3000021,830.7999934,62.4000015,131.0000019
"GLCA_B","B07",2019,496.4000015,62.4000015,257.4000034,969.2000025,41.0999994,75.3000002
"GLCA_B","B07",2020,483.1000061,41.0999994,134.8999987,781.8000012,36.9000008,97
"GLCA_B","B07",2021,481.7999993,36.9000008,228.6000061,884.1000034,36.8999986,133
"GLCA_B","B07",2022,419.800003,36.8999986,258,902.0000057,53.0999994,139.1999989
"GLCA_B","B07",2023,471.800003,53.0999994,264.8999958,920.3999996,27.9000001,47.9000013
"GLCA_B","B07",2024,453.2000045,27.9000001,152.9999998,758.4000075,NA,NA
"GLCA_B","B08",2008,428.5000038,NA,191.9999972,NA,35.8000012,99.8999987
"GLCA_B","B08",2009,452.9999885,35.8000012,188.9999972,806.6999836,41.6999998,115.1000022
"GLCA_B","B08",2010,465.2000047,41.6999998,224.5000037,854.5000124,32.9999992,69
"GLCA_B","B08",2011,387.7000007,32.9999992,155.9000015,734.7999946,31.2000008,99.9999991
"GLCA_B","B08",2012,419.9999961,31.2000008,190.3000022,751.8000022,36.8000002,141.5999965
"GLCA_B","B08",2013,445.7000123,36.8000002,261.8999996,891.6000052,48.499999,115.4000015
"GLCA_B","B08",2014,396.9000016,48.499999,217.5,822.6000052,28.2000008,89.1999998
"GLCA_B","B08",2015,423.6000022,28.2000008,177.8999967,749.499999,41.5,96.999998
"GLCA_B","B08",2016,390.1999969,41.5,180.499998,737.1999959,20.3999998,89.4000025
"GLCA_B","B08",2017,419.5999985,20.3999998,174.5999994,745.5000038,38.5999999,100.3000012
"GLCA_B","B08",2018,429.2999916,38.5999999,206.1000043,827.0000011,61.8000011,132.9000054
"GLCA_B","B08",2019,493.4999924,61.8000011,257.1000023,962.7999954,42.499999,85.2000022
"GLCA_B","B08",2020,473.7999991,42.499999,145.0000014,778.0000022,39.5000005,103.9000006
"GLCA_B","B08",2021,478.2000085,39.5000005,229.2000037,878.500014,38,135.3000012
"GLCA_B","B08",2022,423.699993,38,258.3999997,905.1999912,53.3000002,136.2000027
"GLCA_B","B08",2023,470.2000007,53.3000002,258.7000027,909.9000034,30.2000008,58.5999985
"GLCA_B","B08",2024,449.2999878,30.2000008,157.0999985,754.8999848,NA,NA
"GLCA_B","B09",2008,431.5999869,NA,196.3999997,NA,34.9999993,96.1000004
"GLCA_B","B09",2009,456.7999915,34.9999993,188.2999973,812.0999819,40.0000005,112.1000004
"GLCA_B","B09",2010,468.7999993,40.0000005,223.6999989,857.8000018,31.9999993,59.599999
"GLCA_B","B09",2011,387.2999992,31.9999993,150.599999,737.2000019,29.3,100.0000009
"GLCA_B","B09",2012,421.699997,29.3,194.1999978,756.3999927,35,142.3000031
"GLCA_B","B09",2013,445.7000122,35,265.6000062,895.8000184,47.8000002,111.9999991
"GLCA_B","B09",2014,395.1000023,47.8000002,217.0999976,823.2000028,25.8000004,88.1999998
"GLCA_B","B09",2015,426.1999893,25.8000004,180.6999998,757.8999872,41.2000008,91.4000016
"GLCA_B","B09",2016,393.7000046,41.2000008,178.5000001,742.4000027,17.6999995,86.0999989
"GLCA_B","B09",2017,422.6000024,17.6999995,172.7999958,748.7000045,36.5,96.8999997
"GLCA_B","B09",2018,431.0999985,36.5,206.5999966,830.4000007,62.4000015,131.2999973
"GLCA_B","B09",2019,496.4000015,62.4000015,257.3999958,968.6000004,41.2999997,77.9999991
"GLCA_B","B09",2020,481.1000061,41.2999997,137.5999976,781.3000065,37.299999,99.2000008
"GLCA_B","B09",2021,481.3999901,37.299999,229.3000069,883.9999893,37.1999998,134.3999996
"GLCA_B","B09",2022,421,37.1999998,258.7000027,903.8999959,53.0999994,138.4999981
"GLCA_B","B09",2023,472,53.0999994,263.3999996,918.6000079,28.7000008,50.4999991
"GLCA_B","B09",2024,453.7000084,28.7000008,153.3000022,757.9000074,NA,NA
"GLCA_B","B10",2008,424.0999984,NA,192.8000011,NA,33.6000002,81.4999995
"GLCA_B","B10",2009,448.8000031,33.6000002,169.099998,777.7999995,37.1999993,107.1000004
"GLCA_B","B10",2010,460.4999961,37.1999993,206.6000004,822.2999934,30.8000008,51.5999998
"GLCA_B","B10",2011,394.5,30.8000008,143.7999967,731.8999967,33.0999992,107.3000011
"GLCA_B","B10",2012,409.699997,33.0999992,197.7000026,756.3999927,34.0000005,134.8999977
"GLCA_B","B10",2013,432.4000092,34.0000005,256.7999992,870.3000136,47.8999996,107.5999995
"GLCA_B","B10",2014,379.8999977,47.8999996,208.5999995,798.000002,24.1999992,93.8999982
"GLCA_B","B10",2015,420.2999993,24.1999992,186.2000013,763.5999951,41.0999994,85.3999996
"GLCA_B","B10",2016,388.7000007,41.0999994,160.5999965,699.0999983,16.5,71.4999995
"GLCA_B","B10",2017,421.2999993,16.5,155.400001,725.1999972,36.0000005,83.3999977
"GLCA_B","B10",2018,440.5999947,36.0000005,192.8999977,824.1999898,63.8999996,135.2000008
"GLCA_B","B10",2019,427.6000013,63.8999996,264.0999947,953.0000019,17.3000002,45.6000016
"GLCA_B","B10",2020,476.3999978,17.3000002,98.8000024,669.1999992,33.5000002,93.1999988
"GLCA_B","B10",2021,473.6999893,33.5000002,219.2999973,858.4999935,38.9000001,122.5000019
"GLCA_B","B10",2022,411.3999978,38.9000001,240.1999988,868.9999991,54,129.7000008
"GLCA_B","B10",2023,439.5999985,54,252.0000039,867.1000063,27.7999997,38.3
"GLCA_B","B10",2024,449.2000007,27.7999997,133.4999969,729.8000014,NA,NA
"GLCA_B","B11",2008,431.5999869,NA,196.7999973,NA,34.9999993,95.7999993
"GLCA_B","B11",2009,456.7999915,34.9999993,187.9999962,811.7999808,39.9000006,111.8999996
"GLCA_B","B11",2010,468.6999931,39.9000006,223.4999981,857.3999886,31.9999993,58.9999986
"GLCA_B","B11",2011,386.7999973,31.9999993,150.0999971,736.2999985,29.2000006,99.8000011
"GLCA_B","B11",2012,421.699997,29.2000006,194.1000042,756.3000049,35,142.3000031
"GLCA_B","B11",2013,445.6000061,35,265.8000031,895.9000092,47.8000002,111.9999991
"GLCA_B","B11",2014,394.7999915,47.8000002,217.0999976,822.9999943,25.6000006,88.1999998
"GLCA_B","B11",2015,426.0999909,25.6000006,181.0000029,757.7999898,41.2000008,91.0999984
"GLCA_B","B11",2016,393.800003,41.2000008,178.1999969,742.1999979,17.6000001,85.9999985
"GLCA_B","B11",2017,422.5000039,17.6000001,172.8000016,748.6000032,36.3999996,96.5999995
"GLCA_B","B11",2018,430.9999924,36.3999996,206.4000026,830.0000002,62.4000015,131.2999973
"GLCA_B","B11",2019,496.1000061,62.4000015,257.3999958,968.4000035,41.2999997,77.4999976
"GLCA_B","B11",2020,481.2000122,41.2999997,136.9999976,780.8000125,37.299999,98.6999989
"GLCA_B","B11",2021,481.1999931,37.299999,229.000002,883.5999935,37.1999998,134.2999992
"GLCA_B","B11",2022,420.7000122,37.1999998,258.6000023,903.5000077,53.0999994,138.4999981
"GLCA_B","B11",2023,472,53.0999994,263.3999996,918.6000079,28.7000008,50.3999987
"GLCA_B","B11",2024,453.60001,28.7000008,153.4999972,758.2000086,NA,NA
"GLCA_B","B12",2008,407.3000108,NA,220.5999946,NA,29.5,101.8000023
"GLCA_B","B12",2009,435.8000106,29.5,199.9999992,798.0000068,28.9000008,121.4000006
"GLCA_B","B12",2010,451.7000008,28.9000008,215.7000037,820.5000029,24.7999997,89.7999989
"GLCA_B","B12",2011,388.4999962,24.7999997,195.9999958,777.1999947,32.3000004,114.9999981
"GLCA_B","B12",2012,394.0999985,32.3000004,206.0999966,751.7999891,20.6999996,141.5999966
"GLCA_B","B12",2013,414.2999878,20.6999996,265.8999997,848.6999932,42.2000003,119.9000044
"GLCA_B","B12",2014,370.2999954,42.2000003,225.3000059,792.0000043,23.7000008,132.8999986
"GLCA_B","B12",2015,399.9999963,23.7000008,225.9999971,794.699998,36.4000001,112.9999981
"GLCA_B","B12",2016,374.8000011,36.4000001,188.8999996,727.4000001,6.6999998,101.2999978
"GLCA_B","B12",2017,405,6.6999998,192.2999978,736.1999957,26.099999,121.3000021
"GLCA_B","B12",2018,425.0000077,26.099999,240.499999,845.300015,60.6999988,133.0000038
"GLCA_B","B12",2019,416.2999864,60.6999988,263.0000038,939.1999874,23.4999992,83.8000027
"GLCA_B","B12",2020,473,23.4999992,138.5000035,725.0000089,22.3000008,102.2000008
"GLCA_B","B12",2021,467.8999939,22.3000008,238.3000069,863.499994,31.5,113.6000004
"GLCA_B","B12",2022,392.0000037,31.5,233.6999989,838.3999986,49.5999994,127.5999966
