"Park","Plot","EventYear","DOY"
"GLCA","B01",2013,"139"
"GLCA","B01",2014,"133"
"GLCA","B01",2019,"139"
"GLCA","B01",2021,"144"
"GLCA","B01",2023,"154"
"GLCA","B02",2013,"139"
"GLCA","B02",2014,"134"
"GLCA","B02",2019,"140"
"GLCA","B02",2021,"145"
"GLCA","B02",2023,"153"
"GLCA","B03",2013,"140"
"GLCA","B03",2014,"134"
"GLCA","B03",2019,"140"
"GLCA","B03",2021,"145"
"GLCA","B03",2023,"153"
"GLCA","B04",2013,"140"
"GLCA","B04",2014,"133"
"GLCA","B04",2019,"139"
"GLCA","B04",2021,"144"
"GLCA","B04",2023,"155"
"GLCA","B05",2013,"141"
"GLCA","B05",2014,"135"
"GLCA","B05",2019,"138"
"GLCA","B05",2021,"158"
"GLCA","B05",2022,"140"
"GLCA","B05",2023,"157"
"GLCA","B05",2024,"143"
"GLCA","B06",2013,"141"
"GLCA","B06",2014,"135"
"GLCA","B06",2019,"137"
"GLCA","B06",2021,"158"
"GLCA","B06",2022,"141"
"GLCA","B06",2023,"158"
"GLCA","B06",2024,"142"
"GLCA","B07",2016,"136"
"GLCA","B07",2017,"151"
"GLCA","B07",2022,"144"
"GLCA","B07",2023,"156"
"GLCA","B07",2024,"140"
"GLCA","B08",2016,"135"
"GLCA","B08",2017,"150"
"GLCA","B08",2022,"143"
"GLCA","B08",2023,"155"
"GLCA","B08",2024,"138"
"GLCA","B09",2016,"137"
"GLCA","B09",2017,"150"
"GLCA","B09",2022,"143"
"GLCA","B09",2023,"154"
"GLCA","B09",2024,"139"
"GLCA","B10",2016,"134"
"GLCA","B10",2017,"149"
"GLCA","B10",2022,"141"
"GLCA","B10",2023,"158"
"GLCA","B10",2024,"142"
"GLCA","B11",2016,"138"
"GLCA","B11",2017,"151"
"GLCA","B11",2022,"145"
"GLCA","B11",2023,"155"
"GLCA","B11",2024,"140"
"GLCA","B12",2016,"135"
"GLCA","B12",2017,"149"
"GLCA","B12",2022,"140"
"GLCA","B12",2023,"157"
"GLCA","B12",2024,"141"
"GLCA","H01",2008,"134"
"GLCA","H01",2009,"136"
"GLCA","H01",2010,"146"
"GLCA","H01",2013,"138"
"GLCA","H01",2018,"147"
"GLCA","H01",2019,"153"
"GLCA","H01",2022,"154"
"GLCA","H01",2023,"141"
"GLCA","H03",2008,"135"
"GLCA","H03",2009,"139"
"GLCA","H03",2010,"146"
"GLCA","H03",2013,"138"
"GLCA","H03",2018,"148"
"GLCA","H03",2019,"154"
"GLCA","H03",2022,"159"
"GLCA","H04",2008,"136"
"GLCA","H04",2009,"137"
"GLCA","H04",2010,"138"
"GLCA","H04",2015,"147"
"GLCA","H04",2016,"148"
"GLCA","H04",2021,"155"
"GLCA","H04",2023,"139"
"GLCA","H04",2024,"152"
"GLCA","H05",2008,"137"
"GLCA","H05",2009,"136"
"GLCA","H05",2010,"139"
"GLCA","H05",2015,"148"
"GLCA","H05",2016,"150"
"GLCA","H05",2021,"156"
"GLCA","H05",2023,"141"
"GLCA","H05",2024,"154"
"GLCA","H07",2008,"141"
"GLCA","H07",2009,"138"
"GLCA","H07",2010,"145"
"GLCA","H07",2015,"149"
"GLCA","H07",2016,"149"
"GLCA","H07",2021,"156"
"GLCA","H07",2023,"142"
"GLCA","H07",2024,"154"
"GLCA","H11",2013,"138"
"GLCA","H11",2018,"147"
"GLCA","H11",2019,"153"
"GLCA","H11",2022,"155"
"GLCA","H12",2013,"137"
"GLCA","H12",2018,"145"
"GLCA","H12",2019,"151"
"GLCA","H12",2022,"155"
"GLCA","H12",2023,"140"
"GLCA","H13",2013,"137"
"GLCA","H13",2018,"145"
"GLCA","H13",2019,"151"
"GLCA","H13",2022,"156"
"GLCA","H14",2013,"137"
"GLCA","H14",2018,"146"
"GLCA","H14",2019,"152"
"GLCA","H14",2022,"157"
"GLCA","H15",2015,"147"
"GLCA","H15",2016,"148"
"GLCA","H15",2021,"155"
"GLCA","H15",2023,"140"
"GLCA","H15",2024,"152"
"GLCA","H16",2015,"148"
"GLCA","H16",2016,"149"
"GLCA","H16",2021,"155"
"GLCA","H16",2023,"139"
"GLCA","H16",2024,"153"
"GLCA","H17",2015,"316"
"GLCA","H17",2016,"150"
"GLCA","H17",2021,"157"
"GLCA","H17",2022,"154"
"GLCA","H17",2023,"143"
"GLCA","P01",2014,"140"
"GLCA","P01",2015,"139"
"GLCA","P01",2021,"143"
"GLCA","P01",2023,"128"
"GLCA","P02",2014,"141"
"GLCA","P02",2015,"140"
"GLCA","P02",2021,"142"
"GLCA","P02",2023,"129"
"GLCA","P03",2014,"141"
"GLCA","P03",2015,"140"
"GLCA","P03",2021,"142"
"GLCA","P03",2023,"129"
"GLCA","P04",2014,"148"
"GLCA","P04",2015,"141"
"GLCA","P04",2021,"140"
"GLCA","P04",2023,"130"
"GLCA","P05",2014,"149"
"GLCA","P05",2015,"139"
"GLCA","P05",2021,"143"
"GLCA","P05",2023,"144"
"GLCA","P06",2017,"145"
"GLCA","P06",2018,"135"
"GLCA","P06",2022,"130"
"GLCA","P06",2024,"156"
"GLCA","P07",2014,"170"
"GLCA","P07",2015,"150"
"GLCA","P07",2021,"141"
"GLCA","P07",2023,"131"
"GLCA","P08",2017,"145"
"GLCA","P08",2018,"135"
"GLCA","P08",2022,"130"
"GLCA","P08",2024,"156"
"GLCA","P09",2017,"147"
"GLCA","P09",2018,"136"
"GLCA","P09",2022,"131"
"GLCA","P09",2024,"157"
"GLCA","P10",2017,"147"
"GLCA","P10",2018,"136"
"GLCA","P10",2022,"131"
"GLCA","P10",2024,"157"
"GLCA","P11",2017,"148"
"GLCA","P11",2018,"136"
"GLCA","P11",2022,"129"
"GLCA","P11",2024,"158"
"GLCA","P12",2017,"159"
"GLCA","P12",2018,"137"
"GLCA","P12",2022,"132"
